Year,State,Age Group,State Rate,State Births,US Births,US Birth Rate,Unit
1990,Alabama,15-17 years,47.4,"4,222","183,327",37.5,"per 1,000"
1990,Alaska,15-17 years,31.2,335,"183,327",37.5,"per 1,000"
1990,Arizona,15-17 years,47.7,"3,436","183,327",37.5,"per 1,000"
1990,Arkansas,15-17 years,50.4,"2,549","183,327",37.5,"per 1,000"
1990,California,15-17 years,44.6,"24,880","183,327",37.5,"per 1,000"
1990,Colorado,15-17 years,33.1,"2,061","183,327",37.5,"per 1,000"
1990,Connecticut,15-17 years,26.4,"1,519","183,327",37.5,"per 1,000"
1990,Delaware,15-17 years,38.4,462,"183,327",37.5,"per 1,000"
1990,District of Columbia,15-17 years,88.4,841,"183,327",37.5,"per 1,000"
1990,Florida,15-17 years,44.9,"9,918","183,327",37.5,"per 1,000"
1990,Georgia,15-17 years,50.1,"6,878","183,327",37.5,"per 1,000"
1990,Hawaii,15-17 years,32.5,661,"183,327",37.5,"per 1,000"
1990,Idaho,15-17 years,26.3,611,"183,327",37.5,"per 1,000"
1990,Illinois,15-17 years,40.1,"9,067","183,327",37.5,"per 1,000"
1990,Indiana,15-17 years,35.3,"4,130","183,327",37.5,"per 1,000"
1990,Iowa,15-17 years,20.4,"1,120","183,327",37.5,"per 1,000"
1990,Kansas,15-17 years,30.4,"1,449","183,327",37.5,"per 1,000"
1990,Kentucky,15-17 years,40.8,"3,204","183,327",37.5,"per 1,000"
1990,Louisiana,15-17 years,49.5,"4,653","183,327",37.5,"per 1,000"
1990,Maine,15-17 years,23.3,570,"183,327",37.5,"per 1,000"
1990,Maryland,15-17 years,33.5,"2,866","183,327",37.5,"per 1,000"
1990,Massachusetts,15-17 years,23.7,"2,502","183,327",37.5,"per 1,000"
1990,Michigan,15-17 years,36,"7,007","183,327",37.5,"per 1,000"
1990,Minnesota,15-17 years,19.9,"1,650","183,327",37.5,"per 1,000"
1990,Mississippi,15-17 years,57.5,"3,544","183,327",37.5,"per 1,000"
1990,Missouri,15-17 years,39.3,"3,941","183,327",37.5,"per 1,000"
1990,Montana,15-17 years,24,399,"183,327",37.5,"per 1,000"
1990,Nebraska,15-17 years,23,728,"183,327",37.5,"per 1,000"
1990,Nevada,15-17 years,42.5,889,"183,327",37.5,"per 1,000"
1990,New Hampshire,15-17 years,17.1,348,"183,327",37.5,"per 1,000"
1990,New Jersey,15-17 years,24.4,"3,494","183,327",37.5,"per 1,000"
